sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo1,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo1,LYS23D,Yes,TSO-8,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo2,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo2,LYS23D,Yes,TSO-7,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo3,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo3,LYS23D,Yes,TSO-6,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo4,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo4,LYS23D,Yes,TSO-5,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo5,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo5,LYS23D,Yes,TSO-4,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo6,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo6,LYS23D,Yes,TSO-3,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo7,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo7,LYS23D,Yes,TSO-2,75
polysome_786O_VHL_EIF4E2_NA_2_NA_ribo8,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,ribo8,LYS23D,Yes,TSO-1,75
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo1,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,LYS23E,Yes,TSO-1,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo2,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,LYS23E,Yes,TSO-2,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo3,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,LYS23E,Yes,TSO-3,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo4,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,LYS23E,Yes,TSO-4,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo5,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,LYS23E,Yes,TSO-5,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo6,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,LYS23E,Yes,TSO-6,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo7,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,LYS23E,Yes,TSO-7,150
polysome_786O_VHL_EIF4E2_NA_4_NA_ribo8,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,LYS23E,Yes,TSO-8,150
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo1,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,LYS23A,Yes,TSO-1,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo2,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,LYS23A,Yes,TSO-2,75
